id,isbn,author,edition,format,language,genre,pages,publisher,summary,title,year
1,LTJK3AK0F1WJ58035,16,8,paperback,20,14,637,1,"Aperiam quibusdam labore occaecati ea enim vel autem quisquam id.
Voluptas aliquid alias molestiae.
Placeat autem quae.
Alias alias deserunt expedita rerum quisquam qui incidunt occaecati ea.
Et nulla cupiditate veritatis.",Unspecified subluxation of left knee,1905
2,NBZDK7K5ZAA342706,27,1,hardcover,16,27,64,29,Quasi nulla voluptatibus soluta numquam maxime.,Striatonigral degeneration,2017
3,VR7XTKZ14JHD47342,6,1,paperback,4,17,524,14,est,Syphilitic saddle nose,1966
4,6RNPLK6SRHKY34150,15,10,hardcover,1,17,486,30,"Consectetur nemo facilis laudantium. Minus quis labore sapiente in qui voluptate doloribus a. Quidem sit autem consequatur itaque fugit. Consequatur autem minus sunt animi aut.
 
Quia architecto sit quis sed similique ut ut. Quis sit impedit deserunt ab earum animi minus. Ipsum molestiae ut.
 
Quia cupiditate ipsum soluta quo qui dolores. Dolore et quidem facilis consequuntur est et. Sequi maxime qui amet voluptas. Vitae sed voluptatibus. Sunt molestias et.",Subacute cutaneous lupus erythematosus,1957
5,CYX9E9RAKMWX51907,46,2,paperback,20,17,475,18,Ratione voluptatum at tempora.,Laceration of dorsal artery of right foot,1994
6,WZ4KMG9GTYYD80197,25,2,hardcover,25,22,165,39,quaerat aut distinctio,Late syphilitic oculopathy,1954
7,MZS8MMLBRMJF61284,2,2,paperback,11,16,373,2,occaecati,"Familial chondrocalcinosis, elbow",1919
8,8U5N0Z0RK0KE30949,1,10,hardcover,15,10,384,4,"Alias dicta laborum sed laboriosam architecto molestiae et. Quaerat beatae sed et. Sequi vel earum. Sint atque magnam eligendi sed rerum. Sit at saepe officia in accusamus numquam.
 
Soluta aut soluta voluptatem soluta voluptas voluptate. Quibusdam velit velit dolore quo aperiam ad laboriosam eius est. Maiores et ipsum quas dicta alias amet. Atque aut animi. Sit mollitia assumenda pariatur.
 
Et voluptatem quo recusandae in blanditiis non distinctio. Et et omnis consectetur facere perferendis. Asperiores esse fugiat alias nihil aspernatur nihil. Minima repellendus debitis eos optio est corrupti. Voluptas incidunt exercitationem est veritatis delectus est consequatur.","Salter Harris Type III physeal fracture of upper end of humerus, left arm",1993
9,D4X9L94CCTJZ25398,4,2,paperback,4,3,249,32,perspiciatis exercitationem nihil,"Salter Harris Type III physeal fracture of upper end of humerus, left arm",1979
10,PRZL9PBZW2VR57934,9,1,hardcover,3,24,505,8,"Saepe nobis inventore molestiae minus molestiae.
Quia blanditiis minima dignissimos placeat et illum voluptatem.
Excepturi enim odit quod occaecati in voluptatum.
Sed eum consequuntur aut harum distinctio consequatur.",Contact with hot household appliances,1928
11,N76PLHBWWFR050373,37,1,paperback,16,27,225,39,Doloribus voluptas culpa pariatur fugiat totam magnam. Minima minus vero. Dolorem pariatur in amet ut quis voluptatum ut corporis voluptas. Qui eos qui. Illum sunt est vel. Suscipit ut quo.,"Other disorders of continuity of bone, right radius",1981
12,D2ZLHXB6GEHY57440,6,10,hardcover,14,28,92,1,"Amet perspiciatis ut voluptas placeat quos est. Quasi omnis accusantium sequi quibusdam blanditiis laboriosam earum voluptates voluptatibus. Sit sed quia est et recusandae ea. Est officia quod. Est expedita est voluptas quis quas nisi quas consequatur.
 
Facere sed ab magnam totam minima voluptate expedita. Et dolorum accusantium. Blanditiis quis odio minus magnam eum. Rem cumque sapiente perspiciatis. Tempore dolores magnam qui distinctio debitis ut. Consequatur molestiae suscipit sunt ut itaque ipsam est qui.
 
Possimus amet molestiae est quo sit error est alias. Voluptates perspiciatis optio et illo nemo. Animi qui aliquid sit in ullam repudiandae sed et. Officia quia sint. Cumque sed quibusdam eaque doloremque autem distinctio. Eveniet voluptas nostrum.","Other specified injury of unspecified blood vessel at shoulder and upper arm level, right arm",1998
13,AUM76S2CKMT011595,22,10,paperback,19,29,578,42,Laboriosam quo et aliquid nihil quo. Distinctio velit suscipit modi nulla consequatur rerum. Sequi deserunt ut id iusto perspiciatis.,Varicose veins of left lower extremity with inflammation,1984
14,Z8NC8BC041WZ28919,9,10,hardcover,3,19,44,20,voluptas,Urethral caruncle,1939
15,JEBXZUE0ASGV99726,23,3,paperback,17,1,410,32,Dicta repellat aut voluptas nisi iste non amet porro.,"Disease of spleen, unspecified",1928
16,ZCLHS5S5T0HM95404,19,1,hardcover,12,20,554,1,Laudantium quae sed et iusto voluptatum voluptatem et ab. Iure vel consequuntur omnis ut nihil. Repudiandae qui ut ut quaerat voluptate officia labore itaque mollitia. Sapiente illum veniam sint aut rerum dolores rem repudiandae. Voluptatibus veniam omnis animi possimus voluptas consequatur. Voluptas asperiores laboriosam quo perspiciatis quia quisquam nostrum non est.,Corrosion of third degree of multiple sites of left wrist and hand,1954
17,1LWBVKEGJKRM38660,21,2,paperback,8,12,292,41,"Qui officiis aut dolorum distinctio nemo illum.
Eaque consequatur repellendus.
Delectus voluptas doloremque id qui provident occaecati omnis in iusto.
Consequuntur quo nisi alias modi illum.",Syphilitic saddle nose,1952
18,G6HWXFT083M196001,20,9,hardcover,13,30,39,2,Quis a eum.,"Total perforations of tympanic membrane, right ear",1936
19,P1K6186RH0UX16116,8,5,paperback,21,18,699,19,"Aspernatur voluptas earum id sequi ut et impedit quia laudantium. Sit earum saepe vel explicabo expedita. Molestias exercitationem dicta porro quae. Eaque quam nulla exercitationem corporis. Quas perspiciatis laudantium autem reprehenderit eum nulla odio.
 
Maiores numquam corrupti voluptatum doloribus vero ipsam. Sint facere vitae. Architecto sequi consequatur illum veniam repellendus dolor doloribus rem. Quae ullam molestiae est consequatur labore.
 
Dolorem nam exercitationem fugit nam. Sequi ut itaque quia repellendus officia unde. Et ut in.","Toxic effect of other seafood, assault",2012
20,393Y42S8R3SN66460,1,7,hardcover,19,17,134,34,Delectus amet qui odit ad fugit. In numquam voluptates non eum corrupti. Voluptatibus ab reiciendis saepe explicabo quidem. Modi nisi modi dolorem rerum quisquam ea beatae. Deserunt iure reiciendis ut et.,"Subacute osteomyelitis, right tibia and fibula",1952
21,JGTDABM3P0J557999,17,2,paperback,16,15,388,27,nesciunt,Traumatic rupture of unspecified ligament of right little finger at metacarpophalangeal and interphalangeal joint,2008
22,DCU03MS31SE348477,7,1,hardcover,15,19,577,26,itaque harum aut,"Toxic effect of other seafood, assault",1967
23,77RBWSCYY3HJ72514,9,5,paperback,15,27,160,40,"Non ut praesentium et eos.
Odit quibusdam eum cumque molestiae enim autem.","Other chronic hematogenous osteomyelitis, left humerus",1981
24,8ZZ7X4HZPUYG51363,27,6,hardcover,12,12,57,5,"Ullam optio et nulla aperiam qui.
Laudantium eligendi est quaerat perferendis pariatur illum eius nihil voluptas.",Corrosion of unspecified degree of right lower leg,1981
25,HDXRD9470NSJ79768,21,10,paperback,1,2,280,13,Omnis rerum et laudantium dolorum ut.,Unspecified occupant of military vehicle injured in nontraffic accident,1922
26,9A2LE1XC64AW62400,29,10,hardcover,15,25,475,23,saepe,"Rheumatoid bursitis, wrist",2005
27,TCJ2PTSE3EA513785,12,9,paperback,17,13,604,23,debitis quos itaque,Nondisplaced fracture of lateral condyle of unspecified femur,2018
28,DZPV2P84ZHSL27520,8,10,hardcover,14,3,24,4,Maxime voluptatem aut esse qui possimus et. Est est ab quis ratione dolorem et quia est placeat. Eum deserunt molestias eum eaque molestiae sed.,Urethral caruncle,1964
